iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
189	0.9180177789	1.121874263	0.6015736767	0	0.09677419355	0.6411837238	0.6653198653	0.4363636364	0
190	0.9181063346	1.12065023	0.6015736767	0	0.09677419355	0.6411837238	0.6653198653	0.4363636364	0
191	0.9180810279	1.119427546	0.6030042918	0	0.09677419355	0.6411837238	0.6662171274	0.4444444444	0
192	0.9184940621	1.118092831	0.6030042918	0	0.09677419355	0.6411837238	0.6662171274	0.4444444444	0
193	0.9182572253	1.116920665	0.6030042918	0	0.09677419355	0.6411837238	0.6662171274	0.4444444444	0
194	0.9183839439	1.115898367	0.6022889843	0	0.09677419355	0.6411837238	0.6657681941	0.4404145078	0
195	0.9181985387	1.114885996	0.6022889843	0	0.09677419355	0.6411837238	0.6657681941	0.4404145078	0
196	0.9182767486	1.113752789	0.6030042918	0	0.09677419355	0.6411837238	0.6662171274	0.4444444444	0
197	0.9185741895	1.112603135	0.6037195994	0	0.09677419355	0.6411837238	0.6666666667	0.4484536082	0
198	0.9188026521	1.1114204	0.604434907	0	0.09677419355	0.6411837238	0.667116813	0.4524421594	0
199	0.9192363593	1.110223964	0.6037195994	0	0.09677419355	0.6411837238	0.6666666667	0.4484536082	0
200	0.9193808648	1.109162565	0.6030042918	0	0.09677419355	0.6411837238	0.6662171274	0.4444444444	0
201	0.9200084362	1.107889035	0.6030042918	0	0.09677419355	0.6411837238	0.6662171274	0.4444444444	0
202	0.9202754303	1.106803137	0.6030042918	0	0.09677419355	0.6419753086	0.6657681941	0.4444444444	0
203	0.9203945162	1.105642522	0.6037195994	0	0.09677419355	0.6411837238	0.667116813	0.4473007712	0
204	0.9204494466	1.104327329	0.604434907	0	0.09677419355	0.6411837238	0.6675675676	0.4512820513	0
205	0.9207141068	1.103181179	0.604434907	0	0.09677419355	0.6411837238	0.6675675676	0.4512820513	0
206	0.9207734498	1.102098903	0.604434907	0	0.09677419355	0.6411837238	0.6675675676	0.4512820513	0
207	0.9211723465	1.100914128	0.604434907	0	0.09677419355	0.6411837238	0.6675675676	0.4512820513	0
208	0.9212918448	1.099829703	0.6051502146	0	0.09677419355	0.6428571429	0.6680189317	0.4512820513	0
209	0.9213182493	1.098938434	0.6051502146	0	0.126984127	0.6428571429	0.6680189317	0.4473007712	0
210	0.921542338	1.097898752	0.6058655222	0	0.126984127	0.643649815	0.6684672519	0.4484536082	0
211	0.9219103203	1.096883379	0.6065808298	0	0.126984127	0.643649815	0.6689189189	0.4524421594	0
212	0.9219113925	1.095843957	0.6051502146	0	0.126984127	0.6419753086	0.6684672519	0.4473007712	0
213	0.9221996604	1.09464955	0.6065808298	0	0.126984127	0.643649815	0.6689189189	0.4524421594	0
214	0.9223583376	1.093529945	0.6058655222	0	0.126984127	0.643649815	0.6684672519	0.4484536082	0
215	0.9224889097	1.092444345	0.6065808298	0	0.126984127	0.643649815	0.6684672519	0.4536082474	0
216	0.9227506412	1.091366241	0.6065808298	0	0.126984127	0.6444444444	0.6680161943	0.4536082474	0
217	0.9231969614	1.090252267	0.6065808298	0	0.126984127	0.643649815	0.6689189189	0.4524421594	0
218	0.9234045294	1.089098215	0.6065808298	0	0.126984127	0.643649815	0.6689189189	0.4524421594	0
219	0.923549449	1.088096616	0.6065808298	0	0.126984127	0.645320197	0.6689189189	0.4484536082	0
220	0.9235532588	1.087170296	0.6065808298	0	0.126984127	0.6445264453	0.6693711968	0.4484536082	0
221	0.9237042386	1.085891278	0.6072961373	0	0.126984127	0.6445264453	0.6693766938	0.4552429668	0
222	0.9239178409	1.085026278	0.6072961373	0	0.126984127	0.6445264453	0.6693766938	0.4552429668	0
223	0.924626037	1.083989527	0.6058655222	0	0.126984127	0.6428571429	0.6689234936	0.4501278772	0
224	0.9245818532	1.082910563	0.6072961373	0	0.126984127	0.6428571429	0.6702775897	0.4552429668	0
225	0.9246781238	1.082003898	0.6072961373	0	0.126984127	0.6428571429	0.6702775897	0.4552429668	0
